Alabama_x,Alabama_y,Alaska_x,Alaska_y,Arizona_x,Arizona_y,Arkansas_x,Arkansas_y,California_x,California_y,Colorado_x,Colorado_y,Connecticut_x,Connecticut_y,Delaware_x,Delaware_y,Florida_x,Florida_y,Georgia_x,Georgia_y,Hawaii_x,Hawaii_y,Idaho_x,Idaho_y,Illinois_x,Illinois_y,Indiana_x,Indiana_y,Iowa_x,Iowa_y,Kansas_x,Kansas_y,Kentucky_x,Kentucky_y,Louisiana_x,Louisiana_y,Maine_x,Maine_y,Maryland_x,Maryland_y,Massachusetts_x,Massachusetts_y,Michigan_x,Michigan_y,Minnesota_x,Minnesota_y,Mississippi_x,Mississippi_y,Missouri_x,Missouri_y,Montana_x,Montana_y,Nebraska_x,Nebraska_y,Nevada_x,Nevada_y,New Hampshire_x,New Hampshire_y,New Jersey_x,New Jersey_y,New Mexico_x,New Mexico_y,New York_x,New York_y,North Carolina_x,North Carolina_y,North Dakota_x,North Dakota_y,Ohio_x,Ohio_y,Oklahoma_x,Oklahoma_y,Oregon_x,Oregon_y,Pennsylvania_x,Pennsylvania_y,Puerto Rico_x,Puerto Rico_y,Rhode Island_x,Rhode Island_y,South Carolina_x,South Carolina_y,South Dakota_x,South Dakota_y,Tennessee_x,Tennessee_y,Texas_x,Texas_y,United States_x,United States_y,Utah_x,Utah_y,Vermont_x,Vermont_y,Virginia_x,Virginia_y,Washington_x,Washington_y,West Virginia_x,West Virginia_y,Wisconsin_x,Wisconsin_y,Wyoming_x,Wyoming_y
626.0,653309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817.0,663187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000.0,674810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944.0,688791.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925.0,704173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600.0,721109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556.0,727681.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.0,732967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570.0,747268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076.0,768502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
