Alabama_x,Alabama_y,Alaska_x,Alaska_y,Arizona_x,Arizona_y,Arkansas_x,Arkansas_y,California_x,California_y,Colorado_x,Colorado_y,Connecticut_x,Connecticut_y,Delaware_x,Delaware_y,Florida_x,Florida_y,Georgia_x,Georgia_y
1.0,-0.20889867122208305,,,,,,,,,,,,,,,,,,
-0.20889867122208305,1.0,,,,,,,,,,,,,,,,,,
,,1.0,-0.0037304582922850983,,,,,,,,,,,,,,,,
,,-0.0037304582922850983,1.0,,,,,,,,,,,,,,,,
,,,,1.0,-0.5540374286724759,,,,,,,,,,,,,,
,,,,-0.5540374286724759,1.0,,,,,,,,,,,,,,
,,,,,,1.0,-0.4859698431926527,,,,,,,,,,,,
,,,,,,-0.4859698431926527,1.0,,,,,,,,,,,,
,,,,,,,,1.0,-0.5459910450971684,,,,,,,,,,
,,,,,,,,-0.5459910450971684,1.0,,,,,,,,,,
,,,,,,,,,,1.0,0.06902369251677637,,,,,,,,
,,,,,,,,,,0.06902369251677637,1.0,,,,,,,,
1.0,-0.20889867122208305,,,,,,,,,,,,,,,,,,
-0.20889867122208305,1.0,,,,,,,,,,,,,,,,,,
,,1.0,-0.0037304582922850975,,,,,,,,,,,,,,,,
,,-0.0037304582922850975,1.0,,,,,,,,,,,,,,,,
,,,,1.0,-0.5540374286724759,,,,,,,,,,,,,,
,,,,-0.5540374286724759,1.0,,,,,,,,,,,,,,
,,,,,,1.0,-0.4859698431926527,,,,,,,,,,,,
,,,,,,-0.4859698431926527,1.0,,,,,,,,,,,,
,,,,,,,,1.0,-0.5459910450971684,,,,,,,,,,
,,,,,,,,-0.5459910450971684,1.0,,,,,,,,,,
,,,,,,,,,,1.0,0.06902369251677637,,,,,,,,
,,,,,,,,,,0.06902369251677637,1.0,,,,,,,,
1.0,-0.20889867122208305,,,,,,,,,,,,,,,,,,
-0.20889867122208305,1.0,,,,,,,,,,,,,,,,,,
,,1.0,-0.0037304582922850975,,,,,,,,,,,,,,,,
,,-0.0037304582922850975,1.0,,,,,,,,,,,,,,,,
,,,,1.0,-0.5540374286724759,,,,,,,,,,,,,,
,,,,-0.5540374286724759,1.0,,,,,,,,,,,,,,
,,,,,,1.0,-0.4859698431926527,,,,,,,,,,,,
,,,,,,-0.4859698431926527,1.0,,,,,,,,,,,,
,,,,,,,,1.0,-0.5459910450971684,,,,,,,,,,
,,,,,,,,-0.5459910450971684,1.0,,,,,,,,,,
,,,,,,,,,,1.0,0.06902369251677637,,,,,,,,
,,,,,,,,,,0.06902369251677637,1.0,,,,,,,,
1.0,-0.20889867122208305,,,,,,,,,,,,,,,,,,
-0.20889867122208305,1.0,,,,,,,,,,,,,,,,,,
,,1.0,-0.0037304582922850975,,,,,,,,,,,,,,,,
,,-0.0037304582922850975,1.0,,,,,,,,,,,,,,,,
,,,,1.0,-0.5540374286724759,,,,,,,,,,,,,,
,,,,-0.5540374286724759,1.0,,,,,,,,,,,,,,
,,,,,,1.0,-0.4859698431926527,,,,,,,,,,,,
,,,,,,-0.4859698431926527,1.0,,,,,,,,,,,,
,,,,,,,,1.0,-0.5459910450971684,,,,,,,,,,
,,,,,,,,-0.5459910450971684,1.0,,,,,,,,,,
,,,,,,,,,,1.0,0.06902369251677637,,,,,,,,
,,,,,,,,,,0.06902369251677637,1.0,,,,,,,,
,,,,,,,,,,,,1.0,0.17968172387230386,,,,,,
,,,,,,,,,,,,0.17968172387230386,1.0,,,,,,
,,,,,,,,,,,,,,1.0,0.15872875324250466,,,,
,,,,,,,,,,,,,,0.15872875324250466,1.0,,,,
,,,,,,,,,,,,,,,,1.0,-0.04126798275120647,,
,,,,,,,,,,,,,,,,-0.04126798275120647,1.0,,
,,,,,,,,,,,,,,,,,,1.0,-0.5226713350408357
,,,,,,,,,,,,,,,,,,-0.5226713350408357,1.0
,,,,,,,,,,,,1.0,0.17968172387230386,,,,,,
,,,,,,,,,,,,0.17968172387230386,1.0,,,,,,
,,,,,,,,,,,,,,1.0,0.15872875324250466,,,,
,,,,,,,,,,,,,,0.15872875324250466,1.0,,,,
,,,,,,,,,,,,,,,,1.0,-0.04126798275120647,,
,,,,,,,,,,,,,,,,-0.04126798275120647,1.0,,
,,,,,,,,,,,,,,,,,,1.0,-0.5226713350408357
,,,,,,,,,,,,,,,,,,-0.5226713350408357,1.0
,,,,,,,,,,,,1.0,0.17968172387230386,,,,,,
,,,,,,,,,,,,0.17968172387230386,1.0,,,,,,
,,,,,,,,,,,,,,1.0,0.15872875324250466,,,,
,,,,,,,,,,,,,,0.15872875324250466,1.0,,,,
,,,,,,,,,,,,,,,,1.0,-0.04126798275120647,,
,,,,,,,,,,,,,,,,-0.04126798275120647,1.0,,
,,,,,,,,,,,,,,,,,,1.0,-0.5226713350408357
,,,,,,,,,,,,,,,,,,-0.5226713350408357,1.0
,,,,,,,,,,,,1.0,0.17968172387230386,,,,,,
,,,,,,,,,,,,0.17968172387230386,1.0,,,,,,
,,,,,,,,,,,,,,1.0,0.15872875324250466,,,,
,,,,,,,,,,,,,,0.15872875324250466,1.0,,,,
,,,,,,,,,,,,,,,,1.0,-0.04126798275120647,,
,,,,,,,,,,,,,,,,-0.04126798275120647,1.0,,
,,,,,,,,,,,,,,,,,,1.0,-0.5226713350408357
,,,,,,,,,,,,,,,,,,-0.5226713350408357,1.0
