States,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/14/2021,3/15/2021,3/16/2021,3/17/2021,3/18/2021,3/19/2021,3/20/2021,3/21/2021,3/22/2021,3/23/2021,3/24/2021,3/25/2021,3/26/2021,3/27/2021,3/28/2021,3/29/2021,3/30/2021,3/31/2021
Alabama,653309,663187,674810,688791,704173,721109,727681,732967,747268,768502,790864,816418,841394,849337,854302,871536,893767,912663,937614,960539,968459,972986,994253,1019858,1048838,1072623,1098597,1108253,1113924,1134739,1155139
Alaska,168069,168646,170586,172414,174588,178237,180948,182230,184906,188281,190712,193951,197436,202410,205256,206403,210932,213432,216781,221157,228333,230614,231342,233037,236062,239599,242733,245355,246515,247097,248711
Arizona,1244879,1262868,1277294,1298827,1325003,1328642,1388900,1416598,1435152,1464494,1496266,1529482,1562876,1602626,1629972,1655300,1682456,1716937,1720172,1762337,1804760,1835039,1851810,1877865,1940953,1983569,2030110,2072778,2105116,2125696,2157694
Arkansas,425567,431866,442371,452615,464641,477127,489149,494761,501653,513591,514556,541936,579022,579157,586266,589436,602085,615670,635565,653550,670894,677806,680549,694124,710494,730820,747412,763783,769106,772457,788277
California,6294258,6520515,6661278,6739681,6868469,7075139,7205989,7318100,7400238,7497005,7600220,7738923,8025538,8027407,8287692,8540236,8847129,9097819,9302378,9562989,9833939,10070870,10279020,10522002,10757446,11059981,11323197,11574081,11802833,11929476,12120118
Colorado,924947,935576,954066,972060,991979,1019416,1046640,1047703,1061907,1089653,1133732,1165790,1199979,1200280,1232096,1239039,1262328,1285898,1320575,1378562,1413334,1428551,1451398,1475619,1510575,1551393,1591554,1639579,1664752,1692343,1720668
Connecticut,712375,719571,736848,759702,790039,822106,856048,883688,897576,920595,948575,984384,933227,933367,952509,964706,977155,993878,1014611,1034439,1057505,1079370,1093483,1108552,1131532,1155239,1178160,1202316,1225480,1244384,1262503
Delaware,145722,145892,149940,154498,158871,163954,169956,172568,174037,174501,184777,190252,196931,197168,208306,211783,218487,225478,231420,238813,246522,251478,252231,258688,265056,272395,278731,285100,290527,295396,302043
Florida,3166839,3184067,3237174,3328742,3416396,3574315,3714407,3718074,3760044,3833243,3963502,4076435,4325176,4387617,4388959,4436541,4524707,4652763,4760399,4963147,5106288,5109346,5152128,5255602,5403866,5546514,5677465,5837452,5840928,5916809,6005354
Georgia,1260430,1268982,1287231,1310024,1337534,1365901,1396280,1411942,1420118,1422182,1474110,1548497,1608162,1662522,1689912,1707798,1710417,1774120,1777288,1920080,1999241,2058969,2059451,2121979,2179249,2256114,2326415,2401381,2447419,2465539,2515040
Hawaii,250646,251442,253718,259210,264868,271432,272100,280866,287071,294934,304606,314009,322222,329359,333759,339603,349281,359319,369835,378607,387067,390305,396262,404267,410879,420788,421727,422366,439169,444099,450539
Idaho,263438,266252,270724,275118,282541,289977,296541,300640,304032,309022,315010,324180,332271,340495,345005,348653,349038,359793,369859,382524,394331,400267,403821,409788,418189,428376,439001,448334,452828,454535,460710
Illinois,2045444,2076864,2110030,2153991,2204820,2275017,2346663,2398497,2414809,2452227,2512334,2603710,2754782,2755219,2812496,2856270,2909272,2983268,3044878,3147727,3241285,3307733,3340960,3399403,3481498,3576707,3671282,3763201,3832086,3865951,3930026
Indiana,1016048,1021447,1036064,1053529,1079060,1106523,1130035,1152396,1161968,1186992,1212721,1239957,1297780,1297939,1318159,1323727,1345400,1374484,1407346,1440383,1469086,1489440,1495417,1522442,1554964,1589654,1624867,1651837,1673593,1678147,1701299
Iowa,546840,550827,557426,567609,582004,607257,631178,647648,653454,663400,680387,699106,734296,734394,751143,755782,756625,772635,794504,813481,833700,846801,852108,860056,877325,896691,921441,942877,956164,962503,970567
Kansas,439896,444176,451969,462106,475698,491746,508326,515054,521147,532078,548492,582831,586038,618089,623934,628555,638421,659314,686025,713468,737576,742985,747131,762289,779552,800279,829687,846744,854185,859214,873196
Kentucky,713307,724283,737443,759350,789697,820729,847662,867007,872816,891206,922079,953333,1020088,1022830,1044344,1051308,1072092,1099332,1129895,1164238,1198585,1220786,1231911,1249160,1271160,1300503,1327254,1347152,1365477,1373108,1386294
Louisiana,678364,684129,699188,717682,740587,741136,741681,805777,811301,825386,846690,872278,925322,925437,937967,945870,963135,963543,1008581,1034428,1055689,1072631,1076810,1094503,1113976,1133250,1156621,1177111,1191044,1195911,1219539
Maine,228686,229054,229251,229456,257677,267398,268229,287695,290479,296707,297824,320144,321118,343171,351485,354594,354939,355660,373062,373307,374074,398960,401820,402086,414454,427081,435884,446546,452561,455583,461705
Maryland,906877,922936,965135,992264,1025554,1063374,1089583,1109083,1141469,1175253,1211872,1245004,1291426,1316888,1335141,1363597,1397258,1428416,1475036,1479109,1545134,1567725,1594230,1632393,1671238,1717992,1757711,1791217,1813685,1842092,1884069
Massachusetts,1260542,1278555,1306343,1341520,1379021,1423801,1463301,1493343,1510698,1567359,1608665,1650762,1717752,1718071,1751693,1759203,1805897,1845302,1886403,1932142,1973933,2008501,2026414,2067842,2107488,2154775,2200864,2251089,2293964,2316988,2362261
Michigan,1514180,1536958,1562225,1590980,1644210,1702571,1758766,1789580,1805357,1834706,1880098,1936578,2001598,2053751,2056704,2105973,2152908,2216026,2271780,2339274,2398995,2442742,2463672,2508416,2561046,2616763,2672984,2725322,2779143,2801025,2858070
Minnesota,963223,971142,993146,1013705,1043647,1086169,1123285,1151692,1167407,1185323,1213677,1249489,1330070,1330645,1353203,1358707,1379321,1399649,1436197,1471972,1511191,1534133,1542418,1560304,1582691,1620242,1668646,1703543,1722919,1753301,1774794
Mississippi,422306,427476,438143,448882,463252,480626,498585,506410,509358,523070,538774,539704,589064,589211,593525,595233,604746,617430,623350,637529,652213,655574,656843,666971,679635,680180,703555,704342,722545,724564,734671
