Dates,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico,United States
20210301,493769,56339,817821,322509,3479078,429839,282626,87080,1875818,1008660,26747,171462,1187839,662213,336647,294302,405126,430504,44945,383170,561446,647415,485230,295295,558526,100003,201346,293980,75588,792496,185297,921678,862170,99957,968874,426901,155787,933270,126588,523037,112470,775693,2647845,371492,15284,578559,340708,132048,617700,54471,100735,27758383
20210302,494421,56428,818670,322949,3481611,430615,283128,87193,1882865,1011807,26780,171836,1189416,662750,337062,294302,406201,431271,45091,383956,561563,649057,485655,295675,559247,100158,201608,294289,75803,795785,185542,924361,863409,100067,970583,426901,156037,935834,126849,523994,112652,776337,2655592,371979,15372,580108,341441,132184,618307,54527,100765,27810033
20210303,497154,56605,819954,323353,3484963,431670,283622,87425,1888725,1014542,26797,172288,1191520,663511,337686,295109,407373,431771,45227,384765,563116,650762,486434,296154,559988,100351,201973,294684,75990,799476,185898,927750,865554,100067,972605,428264,156287,938411,127285,525351,112833,777935,2663414,372708,15487,581408,342236,132416,619087,54616,100867,27873467
20210304,498076,56745,821108,323756,3488467,433021,284500,87643,1894722,1017428,26852,172587,1193260,664446,338269,295109,408440,432527,45452,385678,564526,652589,487374,296745,560695,100531,202310,295069,76178,802669,186156,931318,868056,100278,974480,429082,156673,941439,127727,526849,113065,779449,2671442,373319,15686,583060,343090,132677,619942,54685,101066,27936311
20210305,498887,56886,823384,324326,3493126,434654,285330,87874,1900598,1019509,26903,172827,1194702,665285,338774,295861,409345,433045,45635,386610,566203,654380,488170,297321,561381,100656,202310,295460,76422,806370,186460,935418,870149,100278,976230,430041,156884,944196,128121,528093,113229,780894,2678295,373868,15819,584537,343868,132964,620663,54764,101327,27998332
20210306,499411,56886,825119,324653,3497578,435762,285330,88139,1905185,1021778,26984,172931,1197267,666516,339258,295861,410184,433045,45792,387319,567698,656072,489116,297581,561782,100842,202653,295960,76695,810090,186742,938986,872176,100391,977736,430395,157079,946985,128121,529219,113378,782206,2683865,374438,15964,585700,344532,133290,621277,54764,101632,28052363
20210307,499819,56886,826454,324818,3501394,436602,285330,88354,1909209,1023487,27031,172931,1198335,667262,339574,295861,410709,433785,45926,388035,568979,656072,490011,297651,562129,100914,203027,296190,76861,812609,186922,942268,873678,100419,978471,430536,157285,948643,128121,530009,113589,783484,2686818,374850,16083,586592,345295,133445,621654,54764,101817,28090988
20210308,500092,56886,827237,324951,3504652,437187,287396,88563,1912440,1024931,27072,173309,1199517,667736,339779,296451,411040,434289,46059,388666,569871,658355,490483,298008,562797,100959,203279,296393,77060,814916,187040,944830,874906,100514,979725,430754,157515,950161,128981,530640,113596,783904,2689413,375109,16199,588129,345731,133627,621842,54903,101937,28129830
20210309,500616,57216,827800,325383,3507266,438025,288145,88679,1916774,1026692,27113,173790,1201027,668308,340336,296451,411917,434926,46254,389566,570877,659890,492108,298445,563662,101093,203587,296822,77252,819042,187238,947737,875903,100615,981618,430250,158007,953136,129277,531447,113753,785242,2694726,375669,16286,589375,346403,133856,622444,54972,102005,28179021
20210310,501398,57449,828630,325700,3513678,439265,288657,88891,1921548,1028432,27154,174246,1202709,669164,341102,297229,412924,435514,46441,390490,572290,662572,493013,299124,564300,101243,203890,297147,77463,822817,187487,950806,877764,100726,983486,430944,158291,955730,129595,532523,113962,786597,2699589,376327,16371,590626,347131,134158,623150,55014,102051,28236808
