Dates,Alabama_x,Alaska_x,Arizona_x,Arkansas_x,California_x,Colorado_x,Connecticut_x,Delaware_x,Florida_x,Georgia_x,Hawaii_x,Idaho_x,Illinois_x,Indiana_x,Iowa_x,Kansas_x,Kentucky_x,Louisiana_x,Maine_x,Maryland_x,Massachusetts_x,Michigan_x,Minnesota_x,Mississippi_x,Missouri_x,Montana_x,Nebraska_x,Nevada_x,New Hampshire_x,New Jersey_x,New Mexico_x,New York_x,North Carolina_x,North Dakota_x,Ohio_x,Oklahoma_x,Oregon_x,Pennsylvania_x,Rhode Island_x,South Carolina_x,South Dakota_x,Tennessee_x,Texas_x,Utah_x,Vermont_x,Virginia_x,Washington_x,West Virginia_x,Wisconsin_x,Wyoming_x,Puerto Rico_x,United States_x,Alabama_y,Alaska_y,Arizona_y,Arkansas_y,California_y,Colorado_y,Connecticut_y,Delaware_y,Florida_y,Georgia_y,Hawaii_y,Idaho_y,Illinois_y,Indiana_y,Iowa_y,Kansas_y,Kentucky_y,Louisiana_y,Maine_y,Maryland_y,Massachusetts_y,Michigan_y,Minnesota_y,Mississippi_y,Missouri_y,Montana_y,Nebraska_y,Nevada_y,New Hampshire_y,New Jersey_y,New Mexico_y,New York_y,North Carolina_y,North Dakota_y,Ohio_y,Oklahoma_y,Oregon_y,Pennsylvania_y,Rhode Island_y,South Carolina_y,South Dakota_y,Tennessee_y,Texas_y,Utah_y,Vermont_y,Virginia_y,Washington_y,West Virginia_y,Wisconsin_y,Wyoming_y,Puerto Rico_y,United States_y
20210301,626,350,1094,90,3516,1580,2964,304,1692,3064,26,411,1143,540,395,811,604,509,283,554,1248,2161,748,412,988,49,464,226,210,3643,165,8893,4226,149,2052,276,190,1992,966,893,49,880,482,257,87,1927,513,247,358,83,176,55566,653309,168069,1244879,425567,6294258,924947,712375,145722,3166839,1260430,250646,263438,2045444,1016048,546840,439896,713307,678364,228686,906877,1260542,1514180,963223,422306,865315,191091,311102,458492,236501,1448799,470185,2777745,1615012,149458,1723002,704200,650472,1956197,192198,755284,186324,903477,3533100,391925,107238,1379963,1166618,318168,971107,99880,358606,50167651
20210302,817,89,934,655,2533,936,576,131,9349,4542,33,482,1577,537,600,0,1546,984,192,869,117,2217,519,632,1046,155,262,309,341,3841,245,5867,1604,169,2371,0,250,3285,261,1327,223,868,9713,487,91,2214,860,143,890,69,38,67796,663187,168646,1262868,431866,6520515,935576,719571,145892,3184067,1268982,251442,266252,2076864,1021447,550827,444176,724283,684129,229054,922936,1278555,1536958,971142,427476,872317,191691,316806,462624,241410,1511554,475459,2880527,1626567,149585,1755260,708140,659018,1991624,196835,759604,186707,911906,3735197,406252,109213,1402684,1186560,319813,984053,99916,358646,51186679
20210303,1000,177,1453,524,3352,1220,666,258,7274,3944,17,559,2104,761,766,1016,1654,697,176,860,1553,1874,925,664,1048,5288,365,395,247,4435,356,7703,2960,0,2871,2115,250,3318,436,1863,230,2156,7581,729,115,1714,954,224,1021,100,121,82089,674810,170586,1277294,442371,6661278,954066,736848,149940,3237174,1287231,253718,270724,2110030,1036064,557426,451969,737443,699188,229251,965135,1306343,1562225,993146,438143,893880,194837,323340,468499,248242,1555002,483920,2958184,1665521,150729,1794044,720959,666187,2027725,201965,768635,189979,943375,3850248,422402,110313,1431797,1210794,322461,1001656,103398,365692,52276187
20210304,944,140,1335,500,3504,1473,962,242,8041,3976,55,394,1740,935,766,0,1383,982,321,1109,1410,2128,1070,838,976,203,337,385,215,3847,258,8285,3105,291,2480,1145,386,3956,442,1883,326,2069,11013,611,200,1956,992,315,1033,78,223,81258,688791,172414,1298827,452615,6739681,972060,759702,154498,3328742,1310024,259210,275118,2153991,1053529,567609,462106,759350,717682,229456,992264,1341520,1590980,1013705,448882,917676,199610,332116,478334,255746,1609464,488139,3052380,1692968,153398,1829145,739525,677995,2080306,208621,784515,193978,965429,3955205,422649,111890,1469462,1243596,330737,1024560,103497,379079,53442776
20210305,925,141,2496,718,4659,2166,943,246,7491,2849,51,338,1442,839,637,752,1249,672,243,1040,1677,2096,924,925,963,154,0,391,314,4098,304,10100,2580,0,2415,1090,211,3283,394,1671,200,1920,8643,549,135,1377,926,355,1092,89,300,79073,704173,174588,1325003,464641,6868469,991979,790039,158871,3416396,1337534,264868,282541,2204820,1079060,582004,475698,789697,740587,257677,1025554,1379021,1644210,1043647,463252,945451,205372,344129,493295,261912,1661209,502054,3155309,1706016,158378,1874115,761033,690687,2174827,215497,800539,198905,990140,4098216,456278,114893,1503158,1276221,345274,1059657,104955,379836,54941685
20210306,600,0,2273,406,4452,1294,0,293,5931,3258,81,347,2565,1231,606,0,1171,0,228,860,1495,2095,1094,399,536,545,343,500,362,4456,282,8545,2552,164,2013,474,-1525,3538,0,1477,177,1772,6805,570,147,1427,744,398,1022,0,326,68329,721109,178237,1328642,477127,7075139,1019416,822106,163954,3574315,1365901,271432,289977,2275017,1106523,607257,491746,820729,741136,267398,1063374,1423801,1702571,1086169,480626,976273,210773,344638,508997,270198,1712715,519972,3292632,1758662,164433,1943411,781746,718580,2257020,222457,823824,206243,1015188,4246954,482088,118292,1533362,1321095,358305,1098730,110594,389276,56740160
20210307,556,0,1492,217,3816,896,0,233,4854,2479,47,0,1068,746,374,165,663,960,206,862,1281,0,1010,85,449,90,374,230,207,2972,180,6956,1807,22,968,187,206,1835,0,1014,265,1825,3571,412,122,1148,999,194,425,0,207,48675,727681,180948,1388900,489149,7205989,1046640,856048,169956,3714407,1396280,272100,296541,2346663,1130035,631178,508326,847662,741681,268229,1089583,1463301,1758766,1123285,498585,1007667,217186,356090,527092,278812,1749281,528061,3438817,1805008,170418,2001222,802893,742710,2274225,229095,851400,211458,1041609,4313322,482511,122891,1567671,1367009,363429,1128307,110971,399427,58240515
20210308,311,0,877,156,3258,659,2205,236,4147,2147,41,483,1182,474,256,688,449,679,199,791,892,2606,589,572,969,59,252,203,270,2556,118,7244,1449,155,1650,219,230,1675,860,814,6,527,1516,259,116,1360,521,223,198,168,130,47644,732967,182230,1416598,494761,7318100,1047703,883688,172568,3718074,1411942,280866,300640,2398497,1152396,647648,515054,867007,805777,287695,1109083,1493343,1789580,1151692,506410,1027201,219236,371498,539447,282343,1775631,541044,3569927,1838635,172717,2042646,818496,760168,2289199,234708,873292,213168,1058354,4406573,483105,126974,1591745,1411252,363952,1150440,114824,402670,59363564
20210309,570,330,621,623,2614,1085,920,125,5892,2485,41,639,1510,572,719,0,1218,870,262,1231,1006,2116,1249,733,1190,479,308,429,305,4854,198,7565,1379,170,2767,-8665,492,3986,296,1118,190,1837,6469,560,87,1654,871,327,741,94,78,57210,747268,184906,1435152,501653,7400238,1061907,897576,174037,3760044,1420118,287071,304032,2414809,1161968,653454,521147,872816,811301,290479,1141469,1510698,1805357,1167407,509358,1038458,220672,387731,544881,289813,1821711,545238,3651402,1858432,173961,2070097,822520,773967,2401448,240963,885144,213680,1064302,4574899,512666,130466,1642937,1437268,367001,1155268,115046,404145,60378381
20210310,1076,233,1248,442,2734,1515,683,232,6348,2323,41,719,1682,856,1017,1001,1371,779,255,1020,1413,3048,1091,1127,880,501,303,325,302,4542,249,7453,2608,146,2580,771,284,3270,318,1455,246,1816,6395,658,87,1622,860,405,896,47,60,71333,768502,188281,1464494,513591,7497005,1089653,920595,174501,3833243,1422182,294934,309022,2452227,1186992,663400,532078,891206,825386,296707,1175253,1567359,1834706,1185323,523070,1060792,224812,396661,553065,297909,1871063,546442,3781666,1906434,175078,2109012,839508,784943,2470284,246202,902545,217047,1091669,4740604,529210,132811,1684219,1469986,370361,1171932,116799,427506,61728270
20210311,1308,228,2197,430,3184,1038,791,814,6531,2219,54,522,1700,910,604,0,1497,514,285,1112,1589,3047,1264,1076,1126,248,272,618,432,4473,233,8558,2649,161,1905,506,353,3226,525,1661,248,1985,5930,646,132,2087,834,410,800,108,359,73399,790864,190712,1496266,514556,7600220,1133732,948575,184777,3963502,1474110,304606,315010,2512334,1212721,680387,548492,922079,846690,297824,1211872,1608665,1880098,1213677,538774,1085613,230731,411300,568912,306918,1958556,563149,3892844,1950352,178388,2161650,863480,785467,2530355,252545,928283,221398,1123145,4893813,529682,135916,1730680,1515461,379579,1199903,116948,428103,63333714
20210312,569,107,1513,573,3471,1498,1250,263,6881,1949,64,421,1763,949,664,704,1284,645,298,1255,1577,3485,1278,1131,1051,147,0,858,435,4593,264,7037,2579,99,2270,775,393,4040,382,1482,242,2006,8043,519,125,1788,770,479,864,64,200,75097,816418,193951,1529482,541936,7738923,1165790,984384,190252,4076435,1548497,314009,324180,2603710,1239957,699106,582831,953333,872278,320144,1245004,1650762,1936578,1249489,539704,1110044,237009,421931,585867,315641,2018387,581690,4010039,2014895,186005,2232778,891158,806341,2548224,258664,950186,226056,1161962,5100346,562291,139766,1776967,1555378,397640,1240451,121792,440880,65209541
